Characteristic,Council,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
,,Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N)
Asian,UKRI (all),8,6,805,200,9,7,860,200,9,7,970,220,10,7,870,185,10,6,940,175,11,8,965,220,10,9,975,200,11,8,1020,230
Black,UKRI (all),1,0,85,5,1,1,85,20,1,1,100,20,1,1,90,15,1,0,95,10,2,1,170,20,2,1,160,20,1,1,80,15
Mixed,UKRI (all),2,2,195,50,2,2,185,45,2,2,200,50,2,2,180,45,2,2,195,50,3,3,240,70,3,2,240,50,3,3,240,70
Not Disclosed,UKRI (all),8,7,775,225,8,9,760,240,8,8,850,250,7,8,645,190,7,7,735,200,7,8,680,200,7,8,645,215,7,7,605,195
Other,UKRI (all),0,0,50,15,1,0,50,10,1,0,55,10,0,0,40,10,1,0,55,5,0,0,40,10,1,0,50,5,1,1,70,20
Unknown,UKRI (all),0,0,50,10,1,1,60,15,0,0,45,15,0,1,40,15,0,0,35,5,0,0,40,5,0,0,25,5,0,0,15,10
White,UKRI (all),81,84,8380,2575,80,81,8080,2225,79,82,8560,2555,79,82,7155,2100,79,83,7755,2235,77,80,6980,2090,78,81,7310,2150,78,80,7250,2225
Asian,NERC,4,5,65,15,4,5,60,25,5,3,90,15,8,4,75,10,6,4,85,15,5,3,45,5,7,3,90,10,6,3,55,10
Black,NERC,1,,15,0,2,2,20,10,0,,5,0,1,,5,0,,,,0,,,,0,,,,,,,,0
Mixed,NERC,1,,20,,1,,20,,,2,1,25 5,2,3,15,10,2,,25,,2,,15,,2,2,25,5,1,,10,
Not Disclosed,NERC,8,10,130,35,8,8,115,35,8,9,140,40,10,11,95,30,9,8,135,35,7,8,60,20,6,10,80,25,7,7,60,20
Other,NERC,,,,,,,,,0,,5,,,,,0,,,,0,,,,,,,,0,,,,0
Unknown,NERC,1,,10,1,,15,,,0,,10,,,,,0,0,,,5,,,,0,,,,0,1,,5,
White,NERC,85,84,1355,315,83,83,1125,370,83,86,1385,390,80,83,765,230,83,87,1235,380,85,87,735,215,84,85,1055,225,84,87,740,210
Asian,STFC,3,3,15,10,3,3,10,5,7,5,30,15,4,4,10,10,3,3,10,5,4,4,15,10,6,6,25,15,3,2,10,5
Black,STFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mixed,STFC,1,,5,,1,,5,,2,2,10,5,,,,,2,,5,,2,,10,,2,2,5,5,2,,5,
Not Disclosed,STFC,13,12,60,35,13,17,50,40,11,12,45,30,13,14,40,25,11,13,40,30,12,12,50,30,11,11,45,35,12,15,40,35
Other,STFC,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,STFC,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,
White,STFC,82,85,395,260,82,79,320,200,80,80,325,205,82,81,245,150,85,83,310,185,81,82,310,200,82,81,330,235,82,81,280,205
Asian,EPSRC,13,11,305,95,15,11,350,90,15,12,395,110,15,12,375,95,15,11,340,65,15,13,325,80,16,13,350,105,18,15,455,110
Black,EPSRC,0,,5,,0,,10,,1,1,20,5,1,,15,,1,,15,,1,,20,,1,,15,,1,,20,
Mixed,EPSRC,2,1,35,10,1,1,30,10,2,1,40,10,2,2,40,10,2,2,40,10,2,1,40,10,2,2,45,15,3,3,70,25
Not Disclosed,EPSRC,6,6,140,50,7,8,170,60,7,6,190,60,7,6,170,50,7,6,155,35,7,7,150,45,7,7,150,55,7,6,170,50
Other,EPSRC,1,1,20,10,1,1,20,10,1,1,25,10,1,,20,,1,,20,,1,,15,,1,,15,,1,1,20,5
Unknown,EPSRC,1,1,20,5,0,1,10,5,0,,10,,0,1,10,5,0,,5,,0,,10,,,,,0,,,,
White,EPSRC,77,81,1790,720,76,77,1825,605,75,79,2035,760,75,80,1915,660,74,81,1685,500,75,78,1560,510,75,78,1690,645,72,74,1860,570
Asian,AHRC,3,3,25,5,3,2,20,5,4,2,30,5,4,5,35,10,5,6,30,15,6,6,50,20,5,4,60,10,4,4,35,10
Black,AHRC,1,,10,,,,,,2,2,15,5,1,,5,,,,,0,2,,15,,3,,30,,2,,15,
Mixed,AHRC,3,3,20,5,3,5,20,10,2,3,20,10,3,3,25,5,2,3,15,5,3,4,25,15,5,4,55,10,5,6,40,15
Not Disclosed,AHRC,11,9,80,20,10,12,60,30,14,14,105,40,10,11,85,25,8,11,60,25,11,11,90,35,10,11,120,35,9,8,75,20
Other,AHRC,,,,0,,,,0,,,,0,,,,,,,,,,,,0,1,,5,,1,,5,
Unknown,AHRC,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
White,AHRC,82,84,620,185,83,79,520,175,77,78,565,225,83,80,730,190,84,79,575,170,77,78,620,230,76,79,890,235,80,80,675,195
Asian,MRC,10,11,150,30,11,10,190,35,11,9,190,35,11,9,165,30,12,8,190,25,14,15,250,60,13,9,210,25,12,11,150,35
Black,MRC,1,,15,0,1,,20,,2,1,30,5,2,,35,,4,2,65,5,3,,55,,5,3,85,10,2,,20,
Mixed,MRC,3,3,40,10,2,,35,,2,2,40,10,3,2,45,5,2,3,40,10,3,3,55,10,3,2,50,5,2,2,20,5
Not Disclosed,MRC,6,6,95,15,7,7,115,25,7,6,120,20,5,4,80,10,7,6,105,20,6,4,105,15,7,8,120,25,5,6,60,20
Other,MRC,1,,15,,,,,0,0,,5,,1,,10,,0,,5,0,1,,10,,1,,15,,1,,10,
Unknown,MRC,0,,5,0,0,,10,,1,2,10,5,1,,10,0,1,,10,,0,,5,,,,,0,,,,0
White,MRC,78,80,1160,215,79,80,1355,275,78,79,1365,275,78,84,1230,270,74,81,1185,265,72,75,1255,290,71,77,1180,215,78,79,920,265
Asian,ESRC,8,6,130,25,6,7,100,20,9,6,110,15,9,5,90,10,10,7,130,25,10,6,115,15,10,4,110,10,14,7,110,15
Black,ESRC,2,,35,,2,,25,,2,,25,,3,,25,,1,,10,0,3,2,30,5,1,,15,0,1,,5,
Mixed,ESRC,3,2,45,10,3,3,45,5,3,2,35,5,2,3,25,5,3,2,40,10,3,3,40,10,3,,35,,3,2,25,5
Not Disclosed,ESRC,9,8,130,30,8,8,115,20,8,8,100,25,7,7,70,15,8,7,105,25,7,6,85,15,5,6,55,15,8,8,65,15
Other,ESRC,0,,5,,1,,10,,,,,0,,,,,1,,10,,1,,10,,1,,5,0,2,3,15,5
Unknown,ESRC,0,,5,,1,,15,,1,,10,,,,,,1,,5,,,,,0,1,,5,,,,,
White,ESRC,77,82,1160,310,80,80,1230,205,78,83,980,235,77,84,745,205,78,82,1055,295,75,81,835,215,80,88,905,190,72,78,580,160
Asian,BBSRC,5,3,120,20,6,5,130,25,6,4,125,20,7,4,120,20,7,5,125,20,6,4,105,20,8,6,100,25,8,5,140,20
Black,BBSRC,,,,,,,,0,,,,0,,,,0,0,,5,0,,,,,0,,5,0,0,,5,
Mixed,BBSRC,2,1,35,10,2,1,30,5,1,1,30,5,2,1,30,5,2,1,25,5,2,3,40,10,1,,15,,2,1,35,5
Not Disclosed,BBSRC,6,6,140,35,7,6,135,25,7,7,150,35,6,6,100,25,6,7,110,30,6,7,100,30,5,6,60,25,5,6,90,25
Other,BBSRC,,,,,1,,15,0,1,,15,,,,,,0,,5,,,,,0,0,,5,,0,,10,
Unknown,BBSRC,0,,10,0,,,,0,0,,5,0,1,1,10,5,0,,5,0,1,,10,,0,,5,,,,,
White,BBSRC,86,89,1900,575,84,88,1710,385,85,88,1900,465,85,87,1485,380,84,88,1470,400,84,85,1405,375,85,86,1080,335,85,88,1555,390
